Palabra, Cantidad
a, 5642
aaaahuuuuuuuuuuuuuuuuuuuuu, 2
aaunque, 1
abajo, 69
abandonaba, 3
abandonada, 1
abandonado, 12
abandonados, 3
abandonamos, 2
abandonando, 1
abandonar, 8
abandonara, 1
abandonarla, 3
abandonarlo, 1
abandonarlos, 1
abandonarme, 1
abandonaron, 4
abandonasteis, 1
abarcaba, 1
abarrotada, 2
abarrotadas, 2
abarrotado, 1
abedules, 2
abejita, 2
abertura, 1
aberturas, 1
abierta, 13
abiertamente, 1
abiertas, 7
abierto, 12
abiertos, 5
abismo, 2
abjurar, 1
ablandaba, 1
ablandarse, 1
abofetear, 1
abolir, 1
abollado, 4
abolladura, 1
abolladuras, 1
abombachadas, 1
abombado, 1
aborda, 1
abordaron, 1
abortos, 1
abovedado, 3
abran, 1
abras, 1
abrasadora, 1
abrasaron, 1
abrasen, 1
abrazaba, 1
abrazaban, 1
abrazada, 2
abrazado, 1
abrazados, 1
abrazando, 1
abrazar, 2
abrazo, 2
abre, 7
abren, 2
abreva, 1
abrevado, 1
abrevar, 1
abreviar, 1
abrid, 2
abriendo, 4
abrieran, 4
abrieron, 16
abrigada, 6
abrigadas, 3
abrigado, 3
abrigados, 1
abrigo, 1
abrir, 14
abrirle, 1
abrirles, 1
abrirnos, 2
abrirse, 1
abroad, 1
abrochaban, 1
abrojos, 2
abrumadora, 1
absoluta, 1
absoluto, 8
absorto, 1
absurda, 3
absurdamente, 1
absurdo, 4
abuela, 7
abuelo, 26
abuelos, 1
abulta, 1
abultado, 1
abunda, 1
abundancia, 4
abundante, 3
abundantes, 3
aburrida, 2
aburrido, 1
aburrimiento, 4
acaba, 9
acababa, 7
acababan, 2
acabada, 1
acabado, 4
acabamos, 1
acaban, 1
acabando, 1
acabar, 7
acabara, 3
acabaran, 1
acabaron, 4
acabe, 4
acabemos, 3
acabo, 1
acaecido, 1
acallaba, 1
acallado, 1
acallarse, 1
acaloradamente, 1
acampado, 1
acampados, 1
acampar, 2
acamparon, 3
acanaladas, 1
acantilado, 11
acantilados, 1
acaricia, 1
acariciaba, 3
acariciaban, 1
acariciado, 1
acariciamos, 1
acariciar, 7
acariciarle, 1
acariciaron, 2
acarrear, 1
acaso, 1
acatar, 1
accede, 1
accedes, 1
accediera, 1
acceso, 1
accesos, 3
ace, 1
acechaban, 1
acechan, 1
aceitadas, 2
aceitado, 1
aceitados, 1
aceite, 17
aceitunas, 3
acelerado, 1
acento, 1
acepta, 2
aceptaba, 2
aceptablemente, 2
aceptables, 1
aceptado, 1
aceptar, 10
aceptara, 2
aceptarla, 1
aceptarlo, 1
acerada, 1
acerados, 1
acerca, 26
acercaba, 5
acercaban, 11
acercado, 1
acercan, 1
acercando, 1
acercara, 5
acercaran, 2
acercaron, 2
acercarse, 10
acero, 114
acerques, 1
acertado, 1
acertaran, 1
acervo, 2
aces, 2
achaparrada, 1
achaparrado, 2
achaparrados, 1
acicalado, 1
acidfree, 1
aclamaban, 2
aclamaciones, 1
aclamar, 1
aclarado, 1
aclarar, 2
aclararse, 8
acobardado, 1
acobardar, 1
acogedora, 1
acogeremos, 1
acogido, 4
acogiera, 1
acolchada, 2
acolchadas, 1
acolchado, 3
acolchados, 1
acolchamientos, 1
acometidas, 1
acomodaba, 1
acomodar, 1
aconsejar, 1
acontecimiento, 1
acontecimientos, 1
acopio, 4
acordaba, 2
acordado, 1
acordando, 1
acordar, 2
acordarse, 2
acordaste, 1
acorde, 1
acordes, 1
acorrala, 1
acortaba, 1
acortan, 1
acoso, 1
acostaba, 1
acostado, 3
acostamos, 1
acostara, 2
acostarme, 1
acostarnos, 1
acostarse, 4
acostumbra, 1
acostumbraba, 1
acostumbrada, 1
acostumbrado, 4
acostumbrando, 1
acostumbraos, 1
acostumbraron, 1
acostumbrarse, 1
acotaban, 1
acres, 2
acribilla, 1
actitud, 1
actividad, 1
acto, 2
actuaba, 1
actuado, 1
actual, 1
actualidad, 1
actualizadas, 1
actuar, 3
actuasteis, 1
acuciantes, 2
acuclillados, 2
acuclillarse, 1
acuclillo, 1
acude, 2
acudid, 2
acudido, 3
acudir, 1
acudisteis, 1
acuerdan, 1
acuerdas, 3
acuerdo, 24
acuerdos, 1
acuesta, 2
acumulaba, 1
acumulaban, 1
acumulando, 1
acumulara, 1
acunaba, 1
acuosos, 1
acurrucaba, 1
acurrucaban, 1
acurrucada, 1
acurrucado, 2
acusa, 3
acusaban, 1
acusadla, 1
acusado, 4
acusadores, 1
acusan, 1
acusarme, 2
acuso, 1
adarves, 1
addam, 24
adecuada, 3
adecuadas, 1
adecuado, 9
adecuados, 2
adelanta, 1
adelantaba, 1
adelantaban, 1
adelantado, 2
adelantar, 1
adelantara, 1
adelantaron, 2
adelante, 34
adelanto, 1
adentraron, 1
adentrarse, 1
adentro, 10
adentros, 6
adiestramiento, 1
admiraba, 1
admirarlo, 1
admites, 1
admito, 1
adonde, 1
adoptar, 1
adoquines, 9
adora, 1
adoraba, 4
adorable, 2
adorada, 3
adorado, 1
adormilada, 4
adormilado, 2
adornaba, 1
adornaban, 2
adornado, 2
adornando, 1
adornos, 3
adquiriendo, 1
adrede, 1
aduanas, 1
adulaciones, 1
adular, 1
adularias, 2
adularlo, 1
adulto, 2
adultos, 2
adusto, 1
adversario, 3
adversidades, 1
advertencia, 4
advertencias, 2
advertido, 7
advertiste, 1
advertisteis, 1
advierto, 1
aegon, 41
aelalla, 1
aemon, 87
aenys, 7
aerion, 2
aeron, 1
aerys, 31
aethan, 1
afable, 2
afables, 1
afanaban, 1
afectaban, 1
afecto, 5
afectuosa, 1
afeitada, 1
afeitado, 3
afeitar, 1
afeitara, 1
afeitarse, 1
aferraba, 1
aferrada, 3
aferrado, 1
aferran, 1
aferrarse, 1
aficionado, 1
afila, 1
afilaba, 2
afilaban, 1
afilada, 7
afiladas, 8
afilado, 5
afilados, 3
afilarlas, 1
aflicciones, 1
afligida, 1
aflojar, 1
aflojaron, 1
aflorase, 1
afluentes, 1
afortunada, 1
afrenta, 3
afuera, 8
agacha, 1
agachaba, 1
agachados, 1
agacharon, 1
agallas, 2
agarraba, 1
agarraban, 1
agarrada, 2
agarrado, 3
agarrando, 2
agarraos, 1
agarrar, 2
agarrarla, 4
agarrarlo, 1
agarrarme, 1
agarrarse, 3
agarre, 1
agarrotadas, 1
agarrotado, 1
agasajo, 6
agentes, 1
aggo, 4
agilidad, 2
agitaba, 10
agitaban, 3
agitada, 1
agitadas, 1
agitados, 1
agitando, 4
agitaron, 1
agitarse, 1
agolpaban, 1
agonizaba, 4
agonizando, 2
agonizante, 3
agotaban, 1
agotada, 6
agotado, 5
agotadora, 2
agotados, 3
agotamiento, 1
agotando, 1
agraciado, 1
agrada, 1
agradable, 13
agradables, 1
agradar, 2
agradara, 1
agradecemos, 1
agradecen, 1
agradecer, 1
agradecerla, 1
agradecida, 2
agradecido, 6
agradecidos, 1
agradecimiento, 1
agradezco, 1
agravado, 1
agravante, 1
agravios, 2
agresiva, 1
agresores, 1
agria, 2
agrias, 1
agrietada, 2
agrietado, 1
agrio, 2
agrupaban, 1
agrupan, 1
agua, 96
aguada, 1
aguados, 1
agualechosa, 2
aguamiel, 14
aguantad, 1
aguantado, 1
aguantar, 4
aguarda, 3
aguardaba, 11
aguardaban, 9
aguardado, 2
aguardan, 4
aguardando, 1
aguardar, 1
aguardarlos, 1
aguardaron, 1
aguas, 32
aguasclaras, 5
aguasdulces, 60
aguasgrises, 4
aguasnegras, 36
aguda, 5
agudo, 7
aguijonazo, 3
aguijonearon, 2
aguja, 5
agujas, 3
agujero, 13
agujeros, 6
ah, 18
ahai, 5
ahoga, 1
ahogaba, 2
ahogaban, 2
ahogada, 2
ahogado, 16
ahogados, 4
ahogando, 2
ahogara, 2
ahogarlo, 1
ahogarme, 2
ahogaron, 2
ahogarse, 5
ahogue, 1
ahora, 184
ahorca, 2
ahorcado, 1
ahorcan, 1
ahorcar, 5
ahorcarnos, 1
ahorcaron, 1
ahorcarte, 1
ahorque, 1
ahorquemos, 1
ahorquen, 1
ahorraos, 1
ahorrarles, 1
ahumada, 2
ahumado, 1
airaba, 1
airada, 1
airado, 2
airados, 1
aire, 57
aires, 6
aislada, 1
ajenjo, 1
ajo, 2
ajustarle, 1
al, 1445
ala, 2
alabanza, 1
alabar, 1
alabarlo, 1
aladale, 2
alados, 1
alan, 1
alannys, 1
alardeado, 1
alardear, 2
alargada, 4
alargadas, 2
alargado, 2
alargados, 1
alargando, 1
alaric, 2
alaridos, 4
alarma, 2
alarmaros, 1
alas, 31
alayaya, 3
alayne, 28
alazana, 1
alba, 2
albar, 1
albarrana, 1
alberga, 2
albergaba, 2
albergaban, 1
albergar, 5
albett, 1
albor, 1
alborotada, 1
alborotado, 1
alcance, 14
alcantarillas, 1
alcanza, 1
alcanzaba, 7
alcanzaban, 1
alcanzado, 1
alcanzan, 1
alcanzar, 5
alcanzara, 2
alcanzarlo, 1
alce, 9
alces, 1
alcoba, 1
aldea, 17
aldealuna, 2
aldeanos, 9
aldeas, 2
alegra, 3
alegraba, 5
alegramos, 1
alegrarse, 1
alegre, 8
alegremente, 2
alegres, 3
alegro, 4
alejaba, 8
alejaban, 2
alejado, 6
alejados, 1
alejando, 3
alejarnos, 1
alejaron, 2
alejarse, 3
aleje, 1
alejo, 1
alekyne, 1
alentadora, 1
alerie, 2
alerta, 2
alerte, 1
alesander, 5
alester, 7
aletas, 1
aleteaba, 2
aleteando, 1
aletear, 1
aletearon, 1
alfarero, 1
alfiler, 1
alfiletero, 1
alfombra, 4
alfombras, 5
alforjas, 1
alfyn, 1
algarada, 1
algas, 2
algo, 151
alguien, 73
alguna, 56
algunas, 26
alguno, 14
algunos, 70
aliados, 2
alianza, 8
alianzas, 1
aliarte, 1
aliemos, 1
aliento, 25
aligeraros, 1
alimentar, 5
alimentara, 1
alimentarlos, 1
alimentarse, 1
alimento, 2
alimentos, 4
alineado, 2
alineados, 2
alinearla, 1
alinearse, 1
alisando, 1
aliviado, 2
aliviar, 1
aliviara, 1
alivio, 12
alla, 2
allard, 1
alliser, 40
allyria, 1
allyrion, 2
alma, 13
almacenes, 2
almena, 8
almenadas, 1
almenara, 2
almenas, 6
almendrados, 1
almendras, 6
almohada, 4
almohadas, 1
alocado, 1
alojaban, 1
alojamiento, 2
alojamientos, 1
alojara, 1
alquimista, 1
alquimistas, 1
alrededor, 34
alrededores, 3
alta, 51
altar, 4
altas, 9
alterar, 1
altercados, 1
alternativa, 1
alternativamente, 2
alternativas, 1
alteza, 124
alto, 83
altos, 14
altura, 34
alturas, 8
alyce, 2
alyn, 12
alys, 2
alysanne, 5
alyssa, 1
alyx, 7
alza, 1
alzaba, 14
alzaban, 12
alzada, 1
alzadas, 1
alzado, 4
alzan, 2
alzando, 3
alzar, 3
alzara, 2
alzarla, 1
alzaron, 1
alzarse, 1
ama, 8
amaba, 5
amabais, 2
amabas, 1
amabilidad, 4
amable, 24
amada, 6
amado, 12
amaestrados, 2
amago, 1
amagos, 1
amamanta, 1
amamantan, 1
amamantando, 1
amamantar, 1
amamantarme, 1
amanece, 2
amanecer, 30
amaneciendo, 1
amante, 10
amantes, 1
amapola, 6
amar, 5
amare, 1
amarga, 1
amargada, 1
amargado, 3
amargas, 1
amargo, 4
amargones, 1
amargura, 11
amarilla, 17
amarillas, 5
amarillenta, 1
amarillento, 1
amarillo, 11
amarillos, 7
amarla, 3
amaros, 1
amarte, 1
amasijo, 2
amatista, 3
amatistas, 7
ambas, 17
ambiciones, 1
ambiente, 2
ambos, 26
ambrose, 2
amenace, 1
amenaza, 7
amenazaba, 1
amenazado, 2
amenazadores, 1
amenazando, 1
amenazar, 1
amenazaron, 1
amenazas, 6
amerei, 1
ami, 6
amiga, 1
amigas, 2
amigo, 24
amigos, 33
amiguita, 1
amiguito, 2
amistad, 2
amistades, 2
amo, 1
amontaban, 1
amontonaba, 1
amontonadas, 2
amontonado, 1
amontonados, 1
amontonando, 1
amontonar, 1
amontonaron, 1
amor, 27
amordazar, 1
amortiguaciones, 1
amortiguadas, 1
amortiguado, 2
amory, 11
amos, 15
amparados, 1
amplia, 4
ampliar, 2
amplias, 3
amplio, 7
amplios, 2
amplitud, 1
ampollas, 4
amputada, 1
analfabetos, 2
analizar, 1
anaranjada, 5
anaranjado, 5
anaranjados, 1
anatema, 1
ancestral, 1
ancha, 6
anchas, 4
ancho, 16
anchos, 4
anchura, 1
anciana, 16
ancianas, 1
anciano, 69
ancianos, 6
anclada, 1
anclando, 1
anclar, 1
anclas, 1
and, 4
anda, 4
andahar, 2
andanada, 3
andanadas, 2
andando, 2
andante, 2
andantes, 1
andar, 7
andares, 1
anders, 1
ando, 1
andrajoso, 1
andrew, 11
andrik, 1
andros, 1
androw, 1
anduvo, 1
anegaron, 1
anfitriones, 1
angostas, 1
angosto, 8
angostos, 2
anguloso, 2
angustia, 1
angustiar, 1
anguy, 5
anhelo, 1
anillas, 2
anillo, 2
anima, 1
animaban, 1
animado, 4
animal, 18
animales, 11
animando, 1
aniquilar, 1
annara, 1
anoche, 4
anochecer, 9
anotaciones, 2
anotado, 1
anotar, 1
ansiedad, 2
ansiosa, 1
ansioso, 3
ansiosos, 1
antario, 2
ante, 126
antebrazo, 1
antepecho, 2
anterior, 20
anteriores, 2
anteriormente, 2
antes, 278
anticipado, 1
anticiparse, 1
antigua, 47
antiguamente, 1
antiguas, 1
antiguo, 16
antiguos, 24
antinatural, 1
antojo, 3
antologista, 1
antorcha, 21
antorchas, 23
anudado, 1
anudarse, 1
anunciaba, 1
anunciaban, 1
anunciar, 7
anunciara, 1
anuncio, 1
anya, 4
anzuelo, 2
apaciguar, 1
apaciguarlo, 1
apagaban, 1
apagadas, 1
apagado, 4
apagados, 1
apagando, 1
apagar, 1
apagaron, 2
aparece, 3
aparecen, 3
aparecer, 2
aparecido, 3
apareciera, 2
aparecieron, 1
aparejos, 1
aparenta, 1
aparentaba, 4
aparentara, 1
aparente, 1
apariciones, 1
apariencia, 1
apartaba, 2
apartaban, 2
apartad, 1
apartada, 1
apartado, 4
apartados, 1
apartando, 3
apartaos, 1
apartar, 7
apartarla, 1
apartarlos, 1
apartarme, 1
apartaron, 1
apartaros, 1
apartarse, 2
aparte, 7
apellido, 2
apelotonaban, 1
apelotonados, 1
apenado, 1
apenas, 63
apercibieron, 1
apesta, 1
apestaba, 2
apestara, 1
apetece, 3
apetezca, 1
apetito, 6
apetitosas, 1
apetitoso, 1
apiaden, 1
apiladas, 1
apilados, 1
aplaca, 1
aplacar, 4
aplastaba, 2
aplastaban, 2
aplastada, 4
aplastado, 3
aplastante, 1
aplastar, 5
aplastara, 1
aplastaron, 2
aplaudir, 1
aplausos, 2
aplica, 3
aplicara, 1
aplique, 1
apliques, 3
apodado, 6
apodados, 1
apoderaba, 1
apoderado, 1
apoderarme, 1
apoderarse, 2
apodo, 2
apolillada, 1
aporreaba, 1
aporta, 1
aportado, 1
aposento, 1
aposentos, 3
apostado, 2
apostados, 1
apostar, 1
apostarse, 1
apoya, 1
apoyaba, 1
apoyaban, 1
apoyada, 3
apoyado, 3
apoyar, 1
apoyara, 3
apoyaras, 1
apoyarlo, 1
apoyaron, 1
apoyarse, 1
apoyo, 16
apoyos, 2
aprecia, 1
aprecian, 1
aprecio, 2
apremiados, 1
