Palabra, Cantidad
a, 9093
abajo, 106
abalanzaban, 1
abalanzaron, 1
abandona, 1
abandonaba, 1
abandonada, 3
abandonadas, 2
abandonado, 9
abandonados, 2
abandonando, 1
abandonar, 4
abandonarlo, 2
abandonarlos, 1
abandonaron, 2
abandonarte, 1
abandonas, 1
abandone, 1
abandonen, 1
abanico, 1
abanicos, 1
abarcaba, 1
abarcar, 1
abarrotaba, 1
abarrotaban, 1
abarrotada, 6
abarrotadas, 4
abarrotado, 6
abarrotados, 1
abastecido, 1
abatida, 2
abatir, 1
abedul, 2
abejas, 1
abejita, 1
abertura, 1
aberturas, 1
abierta, 17
abiertamente, 6
abiertas, 10
abierto, 23
abiertos, 21
abigarrada, 1
abismal, 1
abismo, 1
abjurado, 1
ablandaba, 1
ablandado, 1
abofeteado, 1
abolengo, 1
abollada, 3
abolladas, 1
abollado, 2
abolladuras, 1
abominaciones, 3
abonada, 1
aborda, 1
abordaban, 1
abordados, 1
abordaje, 5
abordarla, 1
aborrecen, 2
abortos, 2
abotargado, 1
abotargados, 1
abovedado, 2
abra, 3
abran, 3
abras, 4
abrasaban, 1
abrasado, 2
abrazada, 1
abrazaderas, 2
abrazado, 1
abrazar, 2
abrazarlo, 4
abrazaron, 1
abrazo, 2
abre, 5
abren, 1
abres, 1
abrevaban, 1
abrevado, 1
abrevando, 1
abrevarlos, 2
abreviar, 1
abrevies, 1
abrid, 8
abridor, 1
abriendo, 6
abriera, 6
abrierais, 1
abrieran, 4
abrieron, 15
abrigadas, 1
abrigadita, 1
abrigado, 1
abrigarse, 1
abrigo, 3
abrir, 24
abrirla, 2
abrirle, 2
abrirlo, 1
abrirlos, 1
abrirnos, 1
abrirse, 7
abroad, 1
abrochaba, 2
abrochada, 1
abrochar, 1
abrocharle, 1
abrocharon, 1
abrocharse, 1
abrojos, 2
abrupta, 2
abruptamente, 1
abruptas, 2
abrupto, 2
abruptos, 2
absoluta, 8
absolutamente, 1
absoluto, 7
absorbidos, 1
absorbieran, 1
absorta, 1
absortos, 1
absurda, 2
absurdas, 1
absurdo, 4
abuchearla, 1
abuela, 2
abuelo, 22
abultaban, 1
abundaban, 2
abundancia, 3
abundante, 5
abundantes, 6
aburrida, 2
aburrido, 4
aburridos, 1
aburrimiento, 2
aburrirse, 2
abusando, 1
abusar, 1
acaba, 12
acababa, 13
acababan, 4
acabad, 1
acabado, 13
acabados, 1
acabamos, 2
acaban, 3
